model,nodes,vertices,features,time,exp_type
gat,8,262144,128,1.902383804321289,GAT_DIST_SAMPLE
va,8,262144,128,0.6726794242858887,VA_DIST
va,8,262144,128,1.3648130893707275,VA_DIST_SAMPLE
agnn,8,1048576,128,5.230880737304688,AGNN_DIST
agnn,8,1048576,128,7.143689155578613,AGNN_DIST_SAMPLE
gat,8,1048576,128,7.306411981582642,GAT_DIST
gat,8,1048576,128,8.412534475326538,GAT_DIST_SAMPLE
va,8,1048576,128,5.600023746490479,VA_DIST
va,8,1048576,128,6.812688827514648,VA_DIST_SAMPLE
agnn,8,131072,128,0.1935868263244629,AGNN_DIST
agnn,8,131072,128,0.5039918422698975,AGNN_DIST_SAMPLE
gat,8,131072,128,0.4082896709442138,GAT_DIST
gat,8,131072,128,0.810056209564209,GAT_DIST_SAMPLE
va,8,131072,128,0.2242453098297119,VA_DIST
va,8,131072,128,0.5188877582550049,VA_DIST_SAMPLE
agnn,8,2097152,128,19.559120178222656,AGNN_DIST
agnn,8,2097152,128,22.64883399009705,AGNN_DIST_SAMPLE
va,8,2097152,128,18.74183654785156,VA_DIST
va,8,2097152,128,21.531009674072266,VA_DIST_SAMPLE
agnn,16,1048576,128,3.082775831222534,AGNN_DIST
agnn,16,1048576,128,3.8426358699798575,AGNN_DIST_SAMPLE
gat,16,1048576,128,3.86100172996521,GAT_DIST
gat,16,1048576,128,4.80780816078186,GAT_DIST_SAMPLE
va,16,1048576,128,2.9215192794799805,VA_DIST
va,16,1048576,128,3.6099061965942383,VA_DIST_SAMPLE
agnn,16,2097152,128,9.785399436950684,AGNN_DIST
agnn,16,2097152,128,11.855189085006714,AGNN_DIST_SAMPLE
va,16,2097152,128,9.466939210891724,VA_DIST
va,16,2097152,128,12.4635329246521,VA_DIST_SAMPLE
agnn,16,262144,128,0.3641514778137207,AGNN_DIST
agnn,16,262144,128,0.9209909439086914,AGNN_DIST_SAMPLE
gat,16,262144,128,0.763390064239502,GAT_DIST
